id ;first_name;last_name;phone
1;akzhainak;askarbekkyzy;7086108300
2;bri;van de cump;7081234567
3;tataglia;ajax;7081111111
4;zhongli;archon;7082222222
5;linet;scavo;7083333333
6;gabriella;solis;7084444444
7;theo;jamees;7085555555
8;atanasia;obelia;7086666666
9;rocsana;agriche;7087777777
10;piter;kavinsci;7088888888
11;kitty;covey;7089999999
12;park;jeongkook;7080000000
13;kim;namjoon;7081212121
14;daenerys;targaryen;7081313131
15;katniss;everdeen;7081414141
16;harry;potter;7081515151
17;hermiona;greindger;7081616161
18;oh;hyeondo;7081717171
19;penelope;eckhart;7081818181
20;lee;seop;7081919191
